"Specimen","Site","Tooth","Sample","Dist","d13C","d18O","C.Error","O.Error"
"NBN.01","NBN","M2","NBN01 M2-15",7.11,-12.26,-2.94,0.03,0.09
"NBN.01","NBN","M2","NBN01 M2-16",5.95,-11.27,-2.92,0.03,0.09
"NBN.01","NBN","M2","NBN01 M2-17",4.8,-10.11,-3.07,0.03,0.09
"NBN.01","NBN","M2","NBN01 M2-18",3.53,-7.99,-3.27,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-1",19.84,-5.76,-4.19,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-2",18.53,-5.8,-3.73,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-3",17.5,-5.93,-3.98,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-4",16.3,-5.94,-3.67,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-5",14.9,-6.19,-3.71,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-6",13.68,-6.37,-4.01,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-7",12.41,-6.34,-3.43,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-8",11.54,-6.15,-3.58,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-9",10.16,-5.86,-3.62,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-10",8.99,-5.28,-3.33,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-11",7.7,-4.9,-3.41,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-12",6.38,-4.76,-3.37,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-13",5.33,-4.9,-3.71,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-14",4.07,-5.12,-3.56,0.03,0.09
"NBN.02","NBN","M2","NBN 02 M2-15",2.92,-5.22,-3.96,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-1",27.8,-5.15,-2.85,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-2",26.57,-5.09,-3.41,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-3",25.39,-5.4,-3.49,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-4",24.25,-5.3,-3.62,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-5",23.09,-5.5,-3.64,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-6",21.77,-5.66,-3.74,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-7",20.71,-5.78,-3.83,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-8",19.59,-5.98,-3.72,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-9",18.37,-6.19,-3.8,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-10",17.09,-6.16,-3.72,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-11",15.88,-6.3,-3.62,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-12",14.73,-6.42,-3.5,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-13",13.37,-6.46,-3.61,0.03,0.09
"SWN.01","SWN","M2","SWN01 M2-14",12.08,-6.52,-3.42,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-1",25.57,-5.74,-3.43,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-2",24.37,-6.04,-3.85,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-3",22.98,-6.21,-3.64,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-4",21.64,-6.39,-3.67,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-5",20.42,-6.46,-3.8,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-6",19.19,-6.57,-3.84,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-7",18.05,-6.5,-4.03,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-8",16.72,-6.49,-3.6,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-9",15.45,-6.24,-3.52,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-10",14.25,-6.08,-3.46,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-11",13.33,-5.85,-3.37,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-12",11.98,-5.54,-2.98,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-13",10.74,-5.29,-2.88,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-14",9.39,-5.15,-2.95,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-15",8.28,-5.11,-2.88,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-16",7.15,-4.77,-2.74,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-17",5.68,-4.78,-2.92,0.03,0.09
"SWN.02","SWN","M2","SWN 02 M2-18",4.58,-4.61,-2.94,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-1",16.21,-6.64,-3.06,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-2",15.04,-7.04,-2.82,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-3",13.78,-7.38,-2.87,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-4",12.47,-7.35,-2.64,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-5",11.2,-7.51,-2.87,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-6",9.08,-6.96,-2.73,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-7",8.11,-6.85,-3.11,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-8",7.07,-6.27,-3.17,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-9",5.66,-5.79,-3.19,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-10",4.47,-5.07,-3.38,0.03,0.09
"TWN.01","TWN","M2","TWNO1 M2-11",3.29,-4.85,-3.59,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-1",22.7,-6.31,-3.84,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-2",21.37,-6.69,-3.88,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-3",20.19,-7.14,-3.61,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-4",18.9,-7.67,-3.3,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-5",17.52,-7.98,-2.98,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-6",16.19,-8.29,-3.36,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-7",14.92,-8.55,-3.04,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-8+9",13.02,-8.38,-2.71,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-10",11.37,-7.59,-2.42,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-11",10.16,-6.8,-2.13,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-12",8.93,-6.41,-2.35,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-13",7.71,-6.13,-2.82,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-14",6.39,-5.71,-2.98,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-15",5.09,-5.41,-3.32,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-16",3.84,-5.35,-3.67,0.03,0.09
"TWN.04","TWN","M2","TWN04 M2-17",2.68,-5.52,-3.27,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-1",25.06,-5.35,-4.37,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-2",23.62,-5.46,-4.43,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-3",22.44,-5.65,-4.19,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-4",21.35,-5.94,-4.24,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-5",20.1,-6.3,-4.06,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-6",18.89,-6.7,-3.96,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-7",17.62,-7.1,-3.9,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-8",16.38,-7.35,-3.82,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-9",15.24,-7.79,-3.59,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-10",14.25,-7.99,-3.51,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-11",13.11,-7.95,-3.34,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-12",11.88,-7.89,-3.19,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-13",10.7,-7.79,-3.11,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-14",9.54,-7.57,-3.17,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-15",8.42,-7.25,-2.94,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-16",7.24,-6.75,-2.82,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-17",6.11,-6.4,-2.94,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-18",5.07,-6.05,-3.59,0.03,0.09
"TWN.05","TWN","M2","TWN05 M2-19",3.83,-5.26,-4.01,0.03,0.09
"MH.01","MH","M3","MH01 M3-1",23.85,-12.74,-5.41,0.03,0.09
"MH.01","MH","M3","MH01 M3-2",22.57,-12.85,-5.3,0.03,0.09
"MH.01","MH","M3","MH01 M3-3",21.28,-13.01,-5.24,0.03,0.09
"MH.01","MH","M3","MH01 M3-4",19.97,-12.96,-5.2,0.03,0.09
"MH.01","MH","M3","MH01 M3-5",18.78,-13.07,-5.33,0.03,0.09
"MH.01","MH","M3","MH01 M3-6",17.69,-13.2,-5.16,0.03,0.09
"MH.01","MH","M3","MH01 M3-7",16.36,-13.39,-4.89,0.03,0.09
"MH.01","MH","M3","MH01 M3-8",15.08,-13.48,-4.61,0.03,0.09
"MH.01","MH","M3","MH01 M3-9",14.06,-13.74,-4.15,0.03,0.09
"MH.01","MH","M3","MH01 M3-10",12.82,-13.87,-3.68,0.03,0.09
"MH.01","MH","M3","MH01 M3-11",11.67,-13.94,-3.3,0.03,0.09
"MH.01","MH","M3","MH01 M3-12",10.3,-13.86,-3.02,0.03,0.09
"MH.01","MH","M3","MH01 M3-13",9.15,-13.8,-2.85,0.03,0.09
"MH.01","MH","M3","MH01 M3-14",8.02,-13.64,-2.7,0.03,0.09
"MH.01","MH","M3","MH01 M3-15",6.95,-13.53,-2.71,0.03,0.09
"MH.01","MH","M3","MH01 M3-16",5.89,-13.36,-2.89,0.03,0.09
"MH.01","MH","M3","MH01 M3-17",4.72,-13.1,-3.19,0.03,0.09
"MH.01","MH","M3","MH01 M3-18",3.65,-12.89,-3.8,0.03,0.09
"MH.01","MH","M3","MH01 M3-19",2.48,-12.46,-4.3,0.03,0.09
"MH.02","MH","M3","MH 02 M3-1",23.21,-10.05,-4.66,0.03,0.09
"MH.02","MH","M3","MH 02 M3-2",21.93,-9.58,-4.82,0.03,0.09
"MH.02","MH","M3","MH 02 M3-3",20.63,-9.13,-5.11,0.03,0.09
"MH.02","MH","M3","MH 02 M3-4",19.32,-8.84,-5.16,0.03,0.09
"MH.02","MH","M3","MH 02 M3-5",18.35,-8.65,-5.28,0.03,0.09
"MH.02","MH","M3","MH 02 M3-6",17.1,-8.51,-5.27,0.03,0.09
"MH.02","MH","M3","MH 02 M3-7",15.83,-8.43,-5.29,0.03,0.09
"MH.02","MH","M3","MH 02 M3-8",14.69,-8.54,-4.89,0.03,0.09
"MH.02","MH","M3","MH 02 M3-9",13.43,-8.77,-4.68,0.03,0.09
"MH.02","MH","M3","MH 02 M3-10",12.18,-9.05,-4.04,0.03,0.09
"MH.02","MH","M3","MH 02 M3-11",10.74,-9.8,-3.51,0.03,0.09
"MH.02","MH","M3","MH 02 M3-12",9.43,-10.79,-2.87,0.03,0.09
"MH.02","MH","M3","MH 02 M3-13",8.21,-11.78,-2.34,0.03,0.09
"MH.02","MH","M3","MH 02 M3-14",6.79,-12.41,-1.57,0.03,0.09
"MH.02","MH","M3","MH 02 M3-15",5.64,-12.54,-1.97,0.03,0.09
"MH.02","MH","M3","MH 02 M3-16",4.36,-12.02,-2.85,0.03,0.09
"MH.02","MH","M3","MH 02 M3-17",3.36,-11.47,-3.77,0.03,0.09
"MH.03","MH","M3","MH 03 M3-1",27.6,-14.06,-5.69,0.03,0.09
"MH.03","MH","M3","MH 03 M3-2",26.63,-14.23,-5.61,0.03,0.09
"MH.03","MH","M3","MH 03 M3-3",25.4,-14.36,-5.75,0.03,0.09
"MH.03","MH","M3","MH 03 M3-4",24.12,-14.61,-5.74,0.03,0.09
"MH.03","MH","M3","MH 03 M3-5",22.84,-14.7,-5.93,0.03,0.09
"MH.03","MH","M3","MH 03 M3-6",21.67,-14.8,-5.82,0.03,0.09
"MH.03","MH","M3","MH 03 M3-7",20.48,-14.76,-5.6,0.03,0.09
"MH.03","MH","M3","MH 03 M3-8",19.31,-14.86,-5.19,0.03,0.09
"MH.03","MH","M3","MH 03 M3-9",18.13,-14.99,-4.93,0.03,0.09
"MH.03","MH","M3","MH 03 M3-10",16.89,-14.93,-4.36,0.03,0.09
"MH.03","MH","M3","MH 03 M3-11",15.62,-14.81,-3.65,0.03,0.09
"MH.03","MH","M3","MH 03 M3-12",14.44,-14.58,-3.32,0.03,0.09
"MH.03","MH","M3","MH 03 M3-13",13.28,-14.29,-2.77,0.03,0.09
"MH.03","MH","M3","MH 03 M3-14",12.12,-14.14,-2.42,0.03,0.09
"MH.03","MH","M3","MH 03 M3-15",11.01,-13.9,-2.56,0.03,0.09
"MH.03","MH","M3","MH 03 M3-16",9.86,-13.68,-2.46,0.03,0.09
"MH.03","MH","M3","MH 03 M3-17",8.75,-13.52,-2.86,0.03,0.09
"MH.03","MH","M3","MH 03 M3-18",7.57,-13.51,-2.96,0.03,0.09
"EB.5","EB","M3","EB 5 M3-1",28.69,-12.89,-5.07,0.03,0.09
"EB.5","EB","M3","EB 5 M3-2",27.61,-13.02,-5.34,0.03,0.09
"EB.5","EB","M3","EB 5 M3-3",26.47,-13.1,-5.47,0.03,0.09
"EB.5","EB","M3","EB 5 M3-4",25.27,-13.16,-5.65,0.03,0.09
"EB.5","EB","M3","EB 5 M3-5",24.06,-13.3,-5.6,0.03,0.09
"EB.5","EB","M3","EB 5 M3-6",22.91,-13.26,-5.31,0.03,0.09
"EB.5","EB","M3","EB 5 M3-7",21.66,-13.4,-5.26,0.03,0.09
"EB.5","EB","M3","EB 5 M3-8",20.69,-13.48,-4.95,0.03,0.09
"EB.5","EB","M3","EB 5 M3-9",19.54,-13.53,-4.53,0.03,0.09
"EB.5","EB","M3","EB 5 M3-10",18.32,-13.57,-4.39,0.03,0.09
"EB.5","EB","M3","EB 5 M3-11",17.26,-13.61,-3.62,0.03,0.09
"EB.5","EB","M3","EB 5 M3-12",16.05,-13.64,-3.73,0.03,0.09
"EB.5","EB","M3","EB 5 M3-13",15.09,-13.65,-3.17,0.03,0.09
"EB.5","EB","M3","EB 5 M3-14",13.92,-13.71,-2.69,0.03,0.09
"EB.5","EB","M3","EB 5 M3-15",12.63,-13.5,-2.53,0.03,0.09
"EB.5","EB","M3","EB 5 M3-16",11.45,-13.43,-2.16,0.03,0.09
"EB.5","EB","M3","EB 5 M3-17",10.26,-13.19,-2.16,0.03,0.09
"EB.9","EB","M3","EB9 M3-1",31.12,-12.51,-2.1,0.03,0.09
"EB.9","EB","M3","EB9 M3-2",29.96,-12.54,-2.35,0.03,0.09
"EB.9","EB","M3","EB9 M3-3",28.94,-12.6,-2.25,0.03,0.09
"EB.9","EB","M3","EB9 M3-4",27.75,-12.54,-2.54,0.03,0.09
"EB.9","EB","M3","EB9 M3-5",26.53,-12.68,-2.58,0.03,0.09
"EB.9","EB","M3","EB9 M3-6",25.43,-12.7,-2.94,0.03,0.09
"EB.9","EB","M3","EB9 M3-7",24.28,-12.58,-2.99,0.03,0.09
"EB.9","EB","M3","EB9 M3-8",23.12,-12.63,-3.27,0.03,0.09
"EB.9","EB","M3","EB9 M3-9",22.09,-12.8,-3.39,0.03,0.09
"EB.9","EB","M3","EB9 M3-10",20.81,-12.66,-3.88,0.03,0.09
"EB.9","EB","M3","EB9 M3-11",19.58,-12.68,-3.99,0.03,0.09
"EB.9","EB","M3","EB9 M3-12",18.44,-12.6,-4.4,0.03,0.09
"EB.9","EB","M3","EB9 M3-13",17.3,-12.5,-4.04,0.03,0.09
"EB.9","EB","M3","EB9 M3-14",16.13,-12.3,-4.52,0.03,0.09
"EB.9","EB","M3","EB9 M3-15",14.96,-12.07,-4.48,0.03,0.09
"EB.9","EB","M3","EB9 M3-16",13.9,-12,-4.87,0.03,0.09
"EB.9","EB","M3","EB9 M3-17",12.9,-11.82,-4.93,0.03,0.09
"EB.9","EB","M3","EB9 M3-18",11.91,-11.52,-4.99,0.03,0.09
"EB.9","EB","M3","EB9 M3-19",10.69,-11.44,-5.25,0.03,0.09
"EB.9","EB","M3","EB9 M3-20",9.45,-11.21,-4.91,0.03,0.09
"EB.9","EB","M3","EB9 M3-21",8.33,-10.99,-4.21,0.03,0.09
"EB.9","EB","M3","EB9 M3-22",7.24,-11.06,-4,0.03,0.09
"EB.15","EB","M3","EB 13 M3-1",30.98,-12.38,-2.82,0.03,0.09
"EB.15","EB","M3","EB 13 M3-2",29.71,-12.59,-3.03,0.03,0.09
"EB.15","EB","M3","EB 13 M3-3",28.52,-12.63,-3.01,0.03,0.09
"EB.15","EB","M3","EB 13 M3-4",27.46,-12.68,-3.19,0.03,0.09
"EB.15","EB","M3","EB 13 M3-5",26.4,-12.52,-3.68,0.03,0.09
"EB.15","EB","M3","EB 13 M3-6",25.15,-12.6,-3.98,0.03,0.09
"EB.15","EB","M3","EB 13 M3-7",23.97,-12.47,-4.2,0.03,0.09
"EB.15","EB","M3","EB 13 M3-8",22.84,-12.47,-4.57,0.03,0.09
"EB.15","EB","M3","EB 13 M3-9",21.67,-12.4,-4.52,0.03,0.09
"EB.15","EB","M3","EB 13 M3-10",20.42,-12.38,-4.89,0.03,0.09
"EB.15","EB","M3","EB 13 M3-11",19.19,-12.46,-4.95,0.03,0.09
"EB.15","EB","M3","EB 13 M3-12",18.05,-12.48,-4.93,0.03,0.09
"EB.15","EB","M3","EB 13 M3-13",16.88,-12.53,-4.95,0.03,0.09
"EB.15","EB","M3","EB 13 M3-14",15.73,-12.56,-5.02,0.03,0.09
"EB.15","EB","M3","EB 13 M3-15",14.51,-12.4,-4.92,0.03,0.09
"EB.15","EB","M3","EB 13 M3-16",13.33,-12.46,-4.83,0.03,0.09
"EB.15","EB","M3","EB 13 M3-17",12.18,-12.47,-4.23,0.03,0.09
"EB.15","EB","M3","EB 13 M3-18",11.03,-12.53,-3.88,0.03,0.09
"EB.15","EB","M3","EB 13 M3-19",9.73,-12.4,-3.66,0.03,0.09
"EB.15","EB","M3","EB 13 M3-20",8.74,-12.44,-2.93,0.03,0.09
"EB.15","EB","M3","EB 13 M3-21",7.69,-12.44,-2.65,0.03,0.09
"EB.15","EB","M3","EB 13 M3-22",6.17,-12.49,-2.32,0.03,0.09
"EB.15","EB","M3","EB 13 M3-23",5.26,-12.76,-2.09,0.03,0.09
"EB.15","EB","M3","EB 13 M3-24",4.16,-12.76,-2.55,0.03,0.09
"EB.15","EB","M3","EB 13 M3-25",2.97,-12.74,-2.91,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-1",30.06,-13.31,-3.64,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-2",28.9,-13.34,-3.57,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-3",27.67,-13.41,-4.07,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-4",26.73,-13.58,-4.19,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-5",25.28,-13.61,-4.48,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-6",24.32,-13.7,-4.67,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-7",23.01,-13.76,-4.74,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-8",22.07,-13.93,-4.89,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-9",21.01,-14.01,-5,0.03,0.09
"POC.12/10","POC","M2","POC 12/10 M2-10",19.77,-14.09,-4.93,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-1",30.65,-13.15,-3.71,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-2",29.35,-13.16,-3.92,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-3",28.18,-13.26,-3.87,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-4",27.12,-13.36,-4.38,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-5",26.25,-13.45,-4.51,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-6",25.11,-13.58,-4.74,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-7",23.87,-13.7,-4.87,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-8",22.94,-13.8,-5.17,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-9",21.75,-13.96,-5.27,0.03,0.09
"POC.12/9","POC","M2","POC12/9 M2-10",20.58,-14.08,-5.31,0.03,0.09
"POC.120","POC","M2","POC 120 M2-1",26.09,-12,-2.46,0.03,0.09
"POC.120","POC","M2","POC 120 M2-2",24.88,-11.37,-2.5,0.03,0.09
"POC.120","POC","M2","POC 120 M2-3",23.74,-10.9,-2.8,0.03,0.09
"POC.120","POC","M2","POC 120 M2-4",22.62,-10.17,-2.69,0.03,0.09
"POC.120","POC","M2","POC 120 M2-5",21.47,-9.54,-3.16,0.03,0.09
"POC.120","POC","M2","POC 120 M2-6",20.37,-9.21,-3.39,0.03,0.09
"POC.120","POC","M2","POC 120 M2-7",19.27,-8.85,-3.65,0.03,0.09
"POC.120","POC","M2","POC 120 M2-8",18.16,-8.51,-3.93,0.03,0.09
"POC.120","POC","M2","POC 120 M2-9",16.83,-8.26,-4.17,0.03,0.09
"POC.120","POC","M2","POC 120 M2-10",15.7,-7.88,-4.08,0.03,0.09
"POC.120","POC","M2","POC 120 M2-11",14.55,-7.97,-4.5,0.03,0.09
